date,open,high,low,close,volume
20130822,395000,405000,384500,404500,32519
20130823,410000,410000,394000,399500,25492
20130826,396000,414500,396000,412000,41055
20130827,412000,417000,405000,417000,26952
20130828,407000,420500,407000,420500,26193
20130829,419000,428000,412500,413000,21333
20130830,419000,422000,410500,418500,37916
20130902,418500,426500,403000,409000,28042
20130903,413000,425000,413000,425000,18732
20130904,427000,433000,420500,424000,17688
20130905,423500,433500,418000,433000,15687
20130906,435000,436500,426000,430000,21514
20130909,431000,434500,427000,431500,17731
20130910,432000,436000,425000,436000,27536
20130911,433500,439500,429000,439500,21649
20130912,439500,449000,435000,449000,22307
20130913,436000,454500,436000,449000,75317
20130916,451500,454500,424000,432000,36633
20130917,432000,439500,423500,439500,28719
20130923,443500,447500,429500,447500,33416
20130924,442500,447000,428500,431500,29294
20130925,434500,440000,430500,440000,22051
20130926,440000,446500,436000,442500,19404
20130927,442500,450500,438000,450500,13389
20130930,447000,462000,443000,452000,21398
20131001,445500,458000,445500,449000,9898
20131002,451500,451500,442500,443500,8264
20131004,438000,441500,424000,428000,19428
20131007,426000,449000,426000,449000,25067
20131008,450000,451500,440500,442500,11566
20131010,443500,459000,438500,445500,19575
20131011,456500,456500,446500,448500,14526
20131014,445500,453500,445500,451000,7815
20131015,448500,460000,447500,460000,13531
20131016,457000,460000,448500,451500,15413
20131017,456000,456500,444000,450500,10621
20131018,454000,460000,448000,455500,13233
20131021,452000,453000,434500,435000,23937
20131022,438000,442500,425000,432000,35099
20131023,433000,433500,416500,419500,37008
20131024,419500,428500,417500,427500,29605
20131025,427500,430000,415500,428000,33646
20131028,428000,431000,416000,431000,28253
20131029,431000,433500,422500,429500,22452
20131030,426000,429500,421000,428500,22807
20131031,423000,427000,417500,425500,31940
20131101,425500,431000,422500,425500,20196
20131104,422500,425500,413000,413000,29122
20131105,412000,422000,412000,420000,28536
20131106,425500,455000,423500,454000,80277
20131107,446500,459000,439500,458500,24555
20131108,456000,459500,448000,457000,32431
20131111,453000,460000,446000,456000,16912
20131112,446500,453000,431500,450000,44634
20131113,443000,449500,423500,430000,37061
20131114,433000,439000,425000,436000,31397
20131115,436500,460000,436000,459500,23780
20131118,460000,465000,449000,449000,13776
20131119,453500,476000,449000,475500,43549
20131120,473500,480500,470500,479500,29208
20131121,480500,481000,469000,471500,15631
20131122,472000,489000,472000,479000,23908
20131125,479000,482500,470500,476000,20606
20131126,470000,474500,467000,471000,34054
20131127,470000,474000,467000,474000,21946
20131128,475000,487500,473000,475000,33011
20131129,472000,475500,461000,467000,24692
20131202,470500,471500,454500,459500,16514
20131203,463500,463500,452000,452000,17836
20131204,451000,468000,449500,465000,28111
20131205,467000,469000,453500,463500,14722
20131206,463500,469500,457000,464000,16091
20131209,470500,474500,466000,471500,10730
20131210,470500,470500,459000,463000,18626
20131211,459000,464500,450000,451500,16283
20131212,445500,454000,445000,445500,18865
20131213,443000,454000,440500,453000,22444
20131216,450000,458500,447000,453000,12507
20131217,453000,464000,451000,463500,16518
20131218,462500,464500,460000,464500,12624
20131219,466500,467000,448500,460000,23266
20131220,466000,466000,453000,460500,14483
20131223,464000,464500,451000,454000,16343
20131224,451500,456500,449000,454000,16676
20131226,456000,462000,452000,458000,15908
20131227,455500,462000,452000,462000,17217
20131230,464000,468500,459500,468500,10532
20140102,475000,476500,458000,458000,18126
20140103,459500,464000,455500,458500,14260
20140106,457000,464500,451000,458500,11510
20140107,456000,479500,455000,475000,22720
20140108,471500,477000,465500,473000,16018
20140109,473000,493000,465000,486000,41394
20140110,488500,491500,480000,484000,14395
20140113,480000,493500,480000,487000,10083
20140114,481500,489500,476000,488000,18363
20140115,483000,490000,480500,488000,11382
20140116,489500,490000,480500,483000,11311
20140117,479000,484000,475000,475000,12647
20140120,471500,478500,471500,472500,10903
20140121,476500,483500,473000,482000,9869
20140122,482000,485500,476500,483000,8509
20140123,485500,492000,475000,485500,20103
20140124,488000,488000,465500,481000,31479
20140127,478500,479500,458000,458000,27805
20140128,459000,479000,457500,477500,16196
20140129,477500,487000,471000,487000,17970
20140203,487000,487000,467500,476500,19614
20140204,470500,477000,463500,473500,16367
20140205,475000,483000,467500,483000,17884
20140206,485000,487000,473500,476500,18340
20140207,481500,490500,478000,489500,20397
20140210,491000,501000,485000,498000,19997
20140211,494000,500000,492500,496000,8990
20140212,493000,499000,491000,498500,9200
20140213,494000,500000,490500,498000,9507
20140214,495500,509000,495500,502000,12790
20140217,509000,519000,501000,516000,17357
20140218,517000,520000,502000,507000,13333
20140219,504000,532000,496500,528000,26139
20140220,522000,534000,506000,512000,30327
20140221,507000,532000,507000,523000,20529
20140224,519000,526000,515000,523000,7679
20140225,525000,526000,513000,525000,11314
20140226,519000,532000,519000,526000,19771
20140227,524000,530000,518000,530000,46514
20140228,527000,533000,516000,516000,18956
20140303,514000,520000,512000,512000,16471
20140304,517000,532000,515000,524000,18616
20140305,528000,535000,518000,523000,15665
20140306,527000,531000,521000,530000,9330
