date,open,high,low,close,volume,korcom,forvol
20150907,17750,18300,17400,17600,144232,23440,5500528
20150908,17600,17850,17350,17550,119019,-22541,5517397
20150909,17650,17850,17400,17650,259260,31277,5579427
20150910,17700,18200,17600,18100,129660,-18842,5578784
20150911,17950,18150,17750,17950,73280,-3724,5592820
20150914,18000,18250,17800,18050,88219,-12420,5569028
20150915,17850,18400,17850,18200,105069,64429,5533658
20150916,18350,18800,18200,18250,233231,55149,5548175
20150917,18500,18550,18200,18300,102595,26673,5550085
20150918,18300,18500,18000,18350,89892,12004,5560859
20150921,18150,18450,18100,18200,49491,1382,5549034
20150922,18400,18400,18150,18250,46564,-5182,5551369
20150923,18150,18450,17550,17550,82245,-33820,5556190
20150924,17850,17850,17300,17800,73098,-1576,5576760
20150925,17950,18000,17300,17850,53512,14584,5577181
20150930,17600,18250,17550,18100,86059,-24964,5570672
20151001,18100,18450,18050,18250,91033,-20927,5586408
20151002,18450,18450,17950,17950,39142,-12450,5591693
20151005,18300,18300,17450,17600,67432,-10132,5600971
20151006,17650,18000,17450,17550,45462,-16900,5613261
20151007,17450,17750,17400,17400,34262,-6468,5583951
20151008,17500,17600,16950,17550,83539,-17319,5593548
20151012,17800,18750,17650,18400,186817,27191,5636523
20151013,18300,18900,18300,18650,101167,8485,5644906
20151014,18800,19100,18650,19000,159376,8568,5699451
20151015,18950,19150,18750,19050,81460,2859,5719961
20151016,18900,19150,18550,18950,101719,-11322,5736664
20151019,19000,19100,18650,18950,41341,-1484,5745226
20151020,18950,19150,18750,19150,65507,30273,5734361
20151021,19150,19150,18500,18850,121929,-5611,5717703
20151022,18800,18950,18450,18750,72773,-25748,5736474
20151023,18800,18950,18600,18650,34987,10074,5739950
20151026,18800,19050,18750,19000,98075,41162,5751944
20151027,18800,19100,18800,18800,82512,45051,5712842
20151028,18800,19050,18600,19000,56869,21783,5709091
20151029,18850,19000,18600,18800,48247,17034,5694703
20151030,18900,18900,18400,18450,62960,-11096,5688344
20151102,18500,19000,18250,18950,113333,11753,5671819
20151103,19050,19300,18850,19250,128436,67812,5663062
20151104,19250,19700,19200,19400,237016,60549,5664919
20151105,19600,20400,19400,20300,327696,107725,5709287
20151106,20300,20500,20000,20400,148955,80870,5699957
20151109,20350,20400,19750,19900,61841,5869,5706716
20151110,19850,20000,19350,19750,60611,4766,5721466
20151111,19550,19750,19150,19500,81780,9576,5722044
20151112,19300,19400,18800,19300,124406,12464,5693736
20151113,19350,19350,18700,19100,64726,6637,5687787
20151116,18950,19000,18500,18950,126667,-2941,5693930
20151117,19000,19200,18700,19000,74177,14640,5681521
20151118,19050,19150,18650,19050,89721,9466,5670748
20151119,19100,19350,18850,19000,55330,-4171,5674685
20151120,18950,19200,18750,19100,53159,16461,5670140
20151123,19100,19150,18850,18950,37542,-15361,5669735
20151124,18950,19650,18650,19250,91647,34980,5652385
20151125,19250,19350,18850,18900,80252,17617,5625994
20151126,18900,19200,18800,19050,70421,8632,5608553
