date,open,high,low,close,volume,roe,roa,eps,bps,sales,margin,net_margin,dps,debt_ratio,run_money,invest_money,financial_money
20200113,37900,37950,37350,37650,153232,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200114,37800,38100,37450,38000,327233,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200115,38050,38050,37450,37900,188318,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200116,37900,38150,37500,38150,209219,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200117,38150,38200,37850,38150,199419,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200120,38200,38300,37800,37850,179914,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200121,38050,38100,37650,37700,187588,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200122,37900,38300,37600,38300,237796,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200123,38050,38300,37700,38100,201322,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200128,37500,37800,36100,36350,390860,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200129,36300,36350,35900,36350,295323,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200130,36400,36400,35250,35400,274189,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200131,35750,36200,35250,35250,286937,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200203,35050,35350,34550,35000,226193,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200204,34850,35450,34800,34900,323944,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200205,35250,35600,35000,35350,272398,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200206,35700,36700,35600,36700,310018,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200207,36500,36700,35650,35850,227786,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200210,35300,35700,35100,35300,140996,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200211,35600,35800,35350,35500,156849,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200212,35350,35600,35000,35450,186068,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200213,35600,35700,35100,35300,319803,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200214,35050,35700,35000,35250,265367,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200217,35400,35550,35000,35250,168530,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200218,35050,35600,34900,35500,296848,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200219,35800,36050,35500,35750,336118,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200220,35750,36200,35500,35700,238687,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200221,35050,35600,34900,35100,189637,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200224,34750,34950,33900,33900,313620,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200225,33750,34600,33750,34300,341216,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200226,34150,34500,33900,34000,283194,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200227,34000,34200,33400,34000,346441,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200228,33400,33800,32750,33100,391888,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200302,33200,33350,32050,32950,352305,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200303,33550,34050,33050,33200,325337,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200304,33150,34600,33050,34300,396290,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200305,34550,35200,34150,34900,366895,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200306,34500,34550,34000,34400,318615,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200309,33750,33750,32950,33150,313390,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200310,32800,33750,32500,33550,508237,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200311,33200,34300,32650,33100,423850,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200312,33400,33400,31300,32250,666939,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200313,30100,31750,29100,31400,908190,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200316,31400,31700,29450,30050,563171,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200317,28500,29900,28300,29300,517060,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200318,29600,29600,28150,28500,500436,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200319,28450,28800,23850,24400,789228,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200320,24500,25600,22750,23900,1291491,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200323,21500,22400,20450,20800,1010313,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200324,21600,23450,20900,23350,1006296,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200325,24850,27500,24300,27400,1109536,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200326,27400,28000,26300,26850,1043480,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200327,28400,29400,27300,27800,865105,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200330,26950,29400,26200,28300,740674,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200331,29250,30250,28700,29350,781828,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200401,29350,29600,27150,27250,676657,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200402,27150,28000,26300,27750,581063,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200403,27950,28050,26850,27300,607850,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200406,27350,29050,27350,28700,611532,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200407,29750,30000,28100,28900,848392,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200408,28550,28700,27950,28000,745384,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200409,28550,28600,28050,28400,550592,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200410,28350,29000,28100,28750,601449,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200413,28800,28800,27800,27800,463194,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200414,28200,28450,27900,28300,362872,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
